Start,Length,Max_Value,Max_Index,Average,Median,Expansion_X,Glide_Time,Parity_Even_Pct
1,1,1,0,1,1,1.0,0,0.0
2,2,2,0,1.5,1.5,1.0,1,50.0
3,8,16,3,6.12,4.5,5.33,6,62.5
4,3,4,0,2.33,2,1.0,1,66.67
5,6,16,1,6,4.5,3.2,3,66.67
6,9,16,4,6.11,5,2.67,1,66.67
7,17,52,5,16.94,13,7.43,11,64.71
8,4,8,0,3.75,3.0,1.0,1,75.0
9,20,52,8,16.95,13.5,5.78,3,65.0
10,7,16,2,6.57,5,1.6,1,71.43
11,15,52,3,17.27,13,4.73,8,66.67
12,10,16,5,6.7,5.5,1.33,1,70.0
13,10,40,1,11.9,9.0,3.08,3,70.0
14,18,52,6,16.78,13.5,3.71,1,66.67
15,18,160,7,38.56,21.5,10.67,11,66.67
16,5,16,0,6.2,4,1.0,1,80.0
17,13,52,1,16.46,13,3.06,3,69.23
18,21,52,9,17,14,2.89,1,66.67
19,21,88,3,24.71,19,4.63,6,66.67
20,8,20,0,8.25,6.5,1.0,1,75.0
21,8,64,1,18.5,12.0,3.05,3,75.0
22,16,52,4,17.56,14.5,2.36,1,68.75
23,16,160,5,39.56,21.5,6.96,8,68.75
24,11,24,0,8.27,6,1.0,1,72.73
25,24,88,6,27.42,21.0,3.52,3,66.67
26,11,40,2,13.18,10,1.54,1,72.73
27,112,9232,77,905.71,357.0,341.93,96,62.5
28,19,52,7,17.37,14,1.86,1,68.42
29,19,88,1,23.26,17,3.03,3,68.42
30,19,160,8,38.11,23,5.33,1,68.42
31,107,9232,72,944.9,395,297.81,91,62.62
32,6,32,0,10.5,6.0,1.0,1,83.33
33,27,100,1,31.15,25,3.03,3,66.67
34,14,52,2,17.71,14.5,1.53,1,71.43
35,14,160,3,38.57,18.0,4.57,6,71.43
36,22,52,10,17.86,15.0,1.44,1,68.18
37,22,112,1,24.32,16.5,3.03,3,68.18
38,22,88,4,25.32,19.5,2.32,1,68.18
39,35,304,10,66.97,39,7.79,13,65.71
40,9,40,0,11.78,8,1.0,1,77.78
41,110,9232,75,921.19,370.5,225.17,3,62.73
42,9,64,2,21.11,16,1.52,1,77.78
43,30,196,3,44.6,27.0,4.56,8,66.67
44,17,52,5,19.12,16,1.18,1,70.59
45,17,136,1,29.24,17,3.02,3,70.59
46,17,160,6,39.94,23,3.48,1,70.59
47,105,9232,70,961.7,412,196.43,88,62.86
48,12,48,0,11.58,7.0,1.0,1,75.0
49,25,148,1,32.24,20,3.02,3,68.0
50,25,88,7,28.32,22,1.76,1,68.0
51,25,232,3,45.2,26,4.55,6,68.0
52,12,52,0,16.42,11.5,1.0,1,75.0
53,12,160,1,33.25,13.0,3.02,3,75.0
54,113,9232,78,898.18,350,170.96,1,62.83
55,113,9232,78,905.45,364,167.85,8,62.83
56,20,56,0,19.3,15.0,1.0,1,70.0
57,33,196,6,50.09,34,3.44,3,66.67
58,20,88,2,25,18.5,1.52,1,70.0
59,33,304,8,66.27,38,5.15,11,66.67
60,20,160,9,39.2,26.5,2.67,1,70.0
61,20,184,1,50.8,37.5,3.02,3,70.0
62,108,9232,73,936.72,386.0,148.9,1,62.96
63,108,9232,73,973.13,439.0,146.54,88,62.96
64,7,64,0,18.14,8,1.0,1,85.71
65,28,196,1,41.61,24.0,3.02,3,67.86
66,28,100,2,32.39,25.5,1.52,1,67.86
67,28,304,3,52.11,27.5,4.54,6,67.86
68,15,68,0,21.07,16,1.0,1,73.33
69,15,208,1,38.53,16,3.01,3,73.33
70,15,160,4,40.67,20,2.29,1,73.33
71,103,9232,68,978.54,425,130.03,83,63.11
72,23,72,0,20.22,16,1.0,1,69.57
73,116,9232,81,885.51,342.0,126.47,3,62.93
74,23,112,2,26.48,17,1.51,1,69.57
75,15,340,3,101.33,75,4.53,8,73.33
76,23,88,5,27.52,20,1.16,1,69.57
77,23,232,1,40.22,22,3.01,3,69.57
78,36,304,11,67.28,39.5,3.9,1,66.67
79,36,808,7,121.78,42.0,10.23,13,66.67
80,10,80,0,18.6,9.0,1.0,1,80.0
81,23,244,1,63.61,46,3.01,3,69.57
82,111,9232,76,913.63,364,112.59,1,63.06
83,111,9232,76,919.77,376,111.23,6,63.06
84,10,84,0,27.4,18.5,1.0,1,80.0
85,10,256,1,59.6,24.0,3.01,3,80.0
86,31,196,4,45.94,28,2.28,1,67.74
87,31,592,5,87.61,28,6.8,8,67.74
88,18,88,0,22.94,16.5,1.0,1,72.22
89,31,304,6,62.9,34,3.42,3,67.74
90,18,136,2,32.61,18.5,1.51,1,72.22
91,93,9232,58,1059.38,479,101.45,73,63.44
92,18,160,7,42.83,29.0,1.74,1,72.22
93,18,280,1,62.39,37.5,3.01,3,72.22
94,106,9232,71,953.52,403.5,98.21,1,63.21
95,106,9232,71,989.1,455.5,97.18,13,63.21
96,13,96,0,18.08,8,1.0,1,76.92
97,119,9232,84,867.68,325,95.18,3,63.03
98,26,148,2,34.77,21.0,1.51,1,69.23
99,26,448,3,66,21.0,4.53,6,69.23
100,26,100,0,31.08,23.5,1.0,1,69.23
101,26,304,1,45.77,24.0,3.01,3,69.23
