Seq_1,Seq_2,Seq_3,Seq_4,Seq_5,Seq_6,Seq_7,Seq_8,Seq_9,Seq_10,Seq_11,Seq_12,Seq_13,Seq_14,Seq_15,Seq_16,Seq_17,Seq_18,Seq_19,Seq_20,Seq_21,Seq_22,Seq_23,Seq_24,Seq_25,Seq_26,Seq_27,Seq_28,Seq_29,Seq_30,Seq_31,Seq_32,Seq_33,Seq_34,Seq_35,Seq_36,Seq_37,Seq_38,Seq_39,Seq_40,Seq_41,Seq_42,Seq_43,Seq_44,Seq_45,Seq_46,Seq_47,Seq_48,Seq_49,Seq_50,Seq_51,Seq_52,Seq_53,Seq_54,Seq_55,Seq_56,Seq_57,Seq_58,Seq_59,Seq_60,Seq_61,Seq_62,Seq_63,Seq_64,Seq_65,Seq_66,Seq_67,Seq_68,Seq_69,Seq_70,Seq_71,Seq_72,Seq_73,Seq_74,Seq_75,Seq_76,Seq_77,Seq_78,Seq_79,Seq_80,Seq_81,Seq_82,Seq_83,Seq_84,Seq_85,Seq_86,Seq_87,Seq_88,Seq_89,Seq_90,Seq_91,Seq_92,Seq_93,Seq_94,Seq_95,Seq_96,Seq_97,Seq_98,Seq_99,Seq_100,Seq_101
,,,,,,,,,,,,,,,,,,,,,,,,,,566,,,,638,,,,,,,,,,850,,,,,,958,,,,,,,1132,1132,,,,,,,1276,1276,,,,,,,,1438,,251,,,,,,,,,283,283,,,,,,,,1822,,,319,319,,334,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,319,,,,,,,,,,425,,,,,,479,,,,,,,566,566,,,,,,,638,638,,,,,,,,719,,754,,,,,,,,,850,850,,,,,,,,911,,,958,958,,167,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,958,,,,,,,,,,1276,,,,,,1438,,,,,,,283,283,,,,,,,319,319,,,,,,,,2158,,377,,,,,,,,,425,425,,,,,,,,2734,,,479,479,,502,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,425,,,,479,,,,,,,,,,638,,,,,,719,,,,,,,850,850,,,,,,,958,958,,,,,,,,1079,,1132,,,,,,,,,1276,1276,,,,,,,,1367,,,1438,1438,,251,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1276,,,,1438,,,,,,,,,,319,,,,,,2158,,,,,,,425,425,,,,,,,479,479,,,,,,,,3238,,566,,,,,,,,,638,638,,,,,,,,4102,,,719,719,,754,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,719,,,,,,,,,,958,,,,,,1079,,,,,,,1276,1276,,,,,,,1438,1438,,,,,,,,1619,,283,,,,,,,,,319,319,,,,,,,,2051,,,2158,2158,,377,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,2158,,,,,,,,,,479,,,,,,3238,,,,,,,638,638,,,,,,,719,719,,,,,,,,4858,,850,,,,,,,,,958,958,,,,,,,,6154,,,1079,1079,,1132,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,958,,,,1079,,,,,,,,,,1438,,,,,,1619,,,,,,,319,319,,,,,,,2158,2158,,,,,,,,2429,,425,,,,,,,,,479,479,,,,,,,,3077,,,3238,3238,,566,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,479,,,,3238,,,,,,,,,,719,,,,,,4858,,,,,,,958,958,,,,,,,1079,1079,,,,,,,,7288,,1276,,,,,,,,,1438,1438,,,,,,,,9232,,,1619,1619,,283,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1438,,,,1619,,,,,,,,,,2158,,,,,,2429,,,,,,,479,479,,,,,,,3238,3238,,,,,,,,3644,,638,,,,,,,,,719,719,,,,,,,,4616,,,4858,4858,,850,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,719,,,,4858,,,,,,,,,,1079,,,,,,7288,,,,,,,1438,1438,,,,,,,1619,1619,,,,,,,,1822,,319,,,,,,,,,2158,2158,,,,,,,,2308,,,2429,2429,,425,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2158,,,,2429,,,,,,,,,,3238,,,,,,3644,,,,,,,719,719,,,,,,,4858,4858,,,,,,,,911,,958,,,,,,,,,1079,1079,,,,,,,,1154,,,7288,7288,,1276,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1079,,,,7288,,,,,,,,,,1619,,,,,,1822,,,,,,,2158,2158,,,,,,,2429,2429,,,,,,,,2734,,479,,,,,,,,,3238,3238,,,,,,,,577,,,3644,3644,,638,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3238,,,,3644,,,,,,,,,,4858,,,,,,911,,,,,,,1079,1079,,,,,,,7288,7288,,,,,,,,1367,,1438,,,,,,,,,1619,1619,,,,,,,,1732,,,1822,1822,,319,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1619,,,,1822,,,,,,,,,,2429,,,,,,2734,,,,,,,3238,3238,,,,,,,3644,3644,,,,,,,,4102,,719,,,,,,,,,4858,4858,,,,,,,,866,,,911,911,,958,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4858,,,,911,,,,,,,,,,7288,,,,,,1367,,,,,,,1619,1619,,,,,,,1822,1822,,,,,,,,2051,,2158,,,,,,,,,2429,2429,,,,,,,,433,,,2734,2734,,479,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2429,,,,2734,,,,,,,,,,3644,,,,,,4102,,,,,,,4858,4858,,,,,,,911,911,,,,,,,,6154,,1079,,,,,,,,,7288,7288,,,,,,,,1300,,,1367,1367,,1438,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,7288,,,,1367,,,,,,,,,,1822,,,,,,2051,,,,,,,2429,2429,,,,,,,2734,2734,,,,,,,,3077,,3238,,,,,,,,,3644,3644,,,,,,,,650,,,4102,4102,,719,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3644,,,,4102,,,,,,,,,,911,,,,,,6154,,,,,,,7288,7288,,,,,,,1367,1367,,,,,,,,9232,,1619,,,,,,,,,1822,1822,,,,,,,,325,,,2051,2051,,2158,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1822,,,,2051,,,,,,,,,,2734,,,,,,3077,,,,,,,3644,3644,,,,,,,4102,4102,,,,,,,,4616,,4858,,,,,,,,,911,911,,,,,,,,976,,,6154,6154,,1079,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,911,,,,6154,,,,,,,,,,1367,,,,,,9232,,,,,,,1822,1822,,,,,,,2051,2051,,,,,,,,2308,,2429,,,,,,,,,2734,2734,,,,,,,,488,,,3077,3077,,3238,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2734,,,,3077,,,,,,,,,,4102,,,,,,4616,,,,,,,911,911,,,,,,,6154,6154,,,,,,,,1154,,7288,,,,,,,,,1367,1367,,,,,,,,244,,,9232,9232,,1619,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1367,,,,9232,,,,,,,,,,2051,,,,,,2308,,,,,,,2734,2734,,,,,,,3077,3077,,,,,,,,577,,3644,,,,,,,,,4102,4102,,,,,,,,122,,,4616,4616,,4858,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4102,,,,4616,,,,,,,,,,6154,,,,,,1154,,,,,,,1367,1367,,,,,,,9232,9232,,,,,,,,1732,,1822,,,,,,,,,2051,2051,,,,,,,,61,,,2308,2308,,2429,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2051,,,,2308,,,,,,,,,,3077,,,,,,577,,,,,,,4102,4102,,,,,,,4616,4616,,,,,,,,866,,911,,,,,,,,,6154,6154,,,,,,,,184,,,1154,1154,,7288,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,6154,,,,1154,,,,,,,,,,9232,,,,,,1732,,,,,,,2051,2051,,,,,,,2308,2308,,,,,,,,433,,2734,,,,,,,,,3077,3077,,,,,,,,92,,,577,577,,3644,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3077,,,,577,,,,,,,,,,4616,,,,,,866,,,,,,,6154,6154,,,,,,,1154,1154,,,,,,,,1300,,1367,,,,,,,,,9232,9232,,,,,,,,46,,,1732,1732,,1822,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9232,,,,1732,,,,,,,,,,2308,,,,,,433,,,,,,,3077,3077,,,,,,,577,577,,,,,,,,650,,4102,,,,,,,,,4616,4616,,,,,,,,23,,,866,866,,911,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4616,,,,866,,,,,,,,,,1154,,,,,,1300,,,,,,,9232,9232,,,,,,,1732,1732,,,,,,,,325,,2051,,,,,,,,,2308,2308,,,,,,,,70,,,433,433,,2734,,,,
