Seq_1,Seq_2,Seq_3,Seq_4,Seq_5,Seq_6,Seq_7,Seq_8,Seq_9,Seq_10,Seq_11,Seq_12,Seq_13,Seq_14,Seq_15,Seq_16,Seq_17,Seq_18,Seq_19,Seq_20,Seq_21,Seq_22,Seq_23,Seq_24,Seq_25,Seq_26,Seq_27,Seq_28,Seq_29,Seq_30,Seq_31,Seq_32,Seq_33,Seq_34,Seq_35,Seq_36,Seq_37,Seq_38,Seq_39,Seq_40,Seq_41,Seq_42,Seq_43,Seq_44,Seq_45,Seq_46,Seq_47,Seq_48,Seq_49,Seq_50,Seq_51,Seq_52,Seq_53,Seq_54,Seq_55,Seq_56,Seq_57,Seq_58,Seq_59,Seq_60,Seq_61,Seq_62,Seq_63,Seq_64,Seq_65,Seq_66,Seq_67,Seq_68,Seq_69,Seq_70,Seq_71,Seq_72,Seq_73,Seq_74,Seq_75,Seq_76,Seq_77,Seq_78,Seq_79,Seq_80,Seq_81,Seq_82,Seq_83,Seq_84,Seq_85,Seq_86,Seq_87,Seq_88,Seq_89,Seq_90,Seq_91,Seq_92,Seq_93,Seq_94,Seq_95,Seq_96,Seq_97,Seq_98,Seq_99,Seq_100,Seq_101
,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,10,,,,,,,,,,80,,,,,,16,,,,,,,106,106,,,,,,,20,20,,,,,,,,4,,23,,,,,,,,,160,160,,,,,,,,,,,5,5,,184,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,5,,,,,,,,,,40,,,,,,8,,,,,,,53,53,,,,,,,10,10,,,,,,,,2,,70,,,,,,,,,80,80,,,,,,,,,,,16,16,,92,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,16,,,,,,,,,,20,,,,,,4,,,,,,,160,160,,,,,,,5,5,,,,,,,,1,,35,,,,,,,,,40,40,,,,,,,,,,,8,8,,46,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,8,,,,,,,,,,10,,,,,,2,,,,,,,80,80,,,,,,,16,16,,,,,,,,,,106,,,,,,,,,20,20,,,,,,,,,,,4,4,,23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,4,,,,,,,,,,5,,,,,,1,,,,,,,40,40,,,,,,,8,8,,,,,,,,,,53,,,,,,,,,10,10,,,,,,,,,,,2,2,,70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,2,,,,,,,,,,16,,,,,,,,,,,,,20,20,,,,,,,4,4,,,,,,,,,,160,,,,,,,,,5,5,,,,,,,,,,,1,1,,35,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,8,,,,,,,,,,,,,10,10,,,,,,,2,2,,,,,,,,,,80,,,,,,,,,16,16,,,,,,,,,,,,,,106,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,4,,,,,,,,,,,,,5,5,,,,,,,1,1,,,,,,,,,,40,,,,,,,,,8,8,,,,,,,,,,,,,,53,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,2,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,20,,,,,,,,,4,4,,,,,,,,,,,,,,160,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,10,,,,,,,,,2,2,,,,,,,,,,,,,,80,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,1,,,,,,,,,,,,,,40,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
